movieCd,link,image,userRating
20169323,https://movie.naver.com/movie/bi/mi/basic.nhn?code=148863,https://ssl.pstatic.net/imgmovie/mdi/mit110/1488/148863_P10_094956.jpg,8.35
20183096,https://movie.naver.com/movie/bi/mi/basic.nhn?code=174050,https://ssl.pstatic.net/imgmovie/mdi/mit110/1740/174050_P32_172314.jpg,7.15
20181877,https://movie.naver.com/movie/bi/mi/basic.nhn?code=132623,https://ssl.pstatic.net/imgmovie/mdi/mit110/1326/132623_P22_133853.jpg,6.74
20060347,https://movie.naver.com/movie/bi/mi/basic.nhn?code=49336,https://ssl.pstatic.net/imgmovie/mdi/mit110/0493/49336_P59_105053.jpg,7.90
20199736,https://movie.naver.com/movie/bi/mi/basic.nhn?code=184253,https://ssl.pstatic.net/imgmovie/mdi/mit110/1842/184253_P10_155905.jpg,8.86
20183454,https://movie.naver.com/movie/bi/mi/basic.nhn?code=180399,https://ssl.pstatic.net/imgmovie/mdi/mit110/1803/180399_P00_154546.jpg,6.90
20180825,https://movie.naver.com/movie/bi/mi/basic.nhn?code=171785,https://ssl.pstatic.net/imgmovie/mdi/mit110/1717/171785_P84_181225.jpg,8.31
20198982,https://movie.naver.com/movie/bi/mi/basic.nhn?code=159845,https://ssl.pstatic.net/imgmovie/mdi/mit110/1598/159845_P12_102707.jpg,8.84
19990220,https://movie.naver.com/movie/bi/mi/basic.nhn?code=24830,https://ssl.pstatic.net/imgmovie/mdi/mit110/0248/24830_P18_133358.jpg,9.07
20176103,https://movie.naver.com/movie/bi/mi/basic.nhn?code=185267,https://ssl.pstatic.net/imgmovie/mdi/mit110/1852/185267_P03_110346.jpg,7.42
20198104,https://movie.naver.com/movie/bi/mi/basic.nhn?code=168045,https://ssl.pstatic.net/imgmovie/mdi/mit110/1680/168045_P15_100136.jpg,8.47
20185406,https://movie.naver.com/movie/bi/mi/basic.nhn?code=164200,https://ssl.pstatic.net/imgmovie/mdi/mit110/1642/164200_P05_105455.jpg,6.87
20182501,https://movie.naver.com/movie/bi/mi/basic.nhn?code=173667,https://ssl.pstatic.net/imgmovie/mdi/mit110/1736/173667_P27_101947.jpg,5.30
20198844,https://movie.naver.com/movie/bi/mi/basic.nhn?code=183063,https://ssl.pstatic.net/imgmovie/mdi/mit110/1830/183063_P01_142452.jpg,0.00
